Id,Category
0,3
1,10
2,8
3,9
4,7
5,3
6,2
7,10
8,3
9,2
10,3
11,0
12,6
13,10
14,0
15,4
16,9
17,4
18,5
19,9
20,3
21,5
22,3
23,3
24,2
25,3
26,2
27,4
28,2
29,8
30,2
31,9
32,2
33,2
34,2
35,2
36,0
37,10
38,10
39,2
40,6
41,2
42,0
43,2
44,2
45,1
46,10
47,3
48,3
49,9
50,10
51,1
52,3
53,3
54,0
55,8
56,5
57,9
58,6
59,2
60,5
61,8
62,0
63,3
64,10
65,8
66,3
67,9
68,4
69,10
70,2
71,5
72,5
73,8
74,9
75,6
76,4
77,2
78,2
79,9
80,0
81,0
82,9
83,8
84,6
85,2
86,4
87,4
88,9
89,9
90,5
91,3
92,0
93,9
94,0
95,2
96,1
97,2
98,6
99,10
100,8
101,2
102,2
103,2
104,0
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,0
118,9
119,2
120,8
121,5
122,0
123,0
124,4
125,8
126,5
127,8
128,10
129,9
130,5
131,3
132,3
133,0
134,2
135,2
136,3
137,10
138,3
139,0
140,2
141,4
142,2
143,5
144,1
145,0
146,2
147,8
148,2
149,8
150,5
151,4
152,6
153,0
154,2
155,1
156,2
157,2
158,8
159,4
160,5
161,4
162,5
163,5
164,9
165,2
166,5
167,8
168,3
169,9
170,8
171,2
172,3
173,4
174,2
175,2
176,9
177,10
178,8
179,5
180,0
181,8
182,9
183,5
184,10
185,9
186,2
187,0
188,2
189,4
190,2
191,3
192,2
193,3
194,5
195,5
196,8
197,9
198,0
199,4
200,9
201,2
202,8
203,9
204,0
205,0
206,0
207,9
208,10
209,4
210,2
211,5
212,2
213,2
214,2
215,0
216,10
217,0
218,9
219,0
220,5
221,2
222,2
223,7
224,5
225,5
226,2
227,9
228,6
229,3
230,0
231,2
232,6
233,2
234,0
235,9
236,0
237,10
238,4
239,6
240,0
241,3
242,8
243,4
244,2
245,4
246,3
247,9
248,10
249,0
250,9
251,3
252,5
253,0
254,5
255,0
256,2
257,9
258,0
259,0
260,8
261,8
262,8
263,4
264,5
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,8
273,0
274,5
275,2
276,9
277,5
278,5
279,2
280,9
281,9
282,2
283,0
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,0
292,8
293,10
294,0
295,2
296,7
297,3
298,8
299,5
300,2
301,9
302,8
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,0
311,3
312,1
313,8
314,2
315,0
316,7
317,0
318,5
319,9
320,3
321,2
322,5
323,0
324,4
325,2
326,5
327,6
328,10
329,5
330,3
331,0
332,0
333,9
334,4
335,2
336,3
337,2
338,5
339,10
340,9
341,6
342,5
343,3
344,0
345,5
346,4
347,6
348,4
349,9
350,5
351,10
352,6
353,2
354,6
355,2
356,10
357,10
358,10
359,4
360,4
361,5
362,10
363,2
364,8
365,5
366,4
367,3
368,2
369,3
370,9
371,3
372,5
373,4
374,2
375,3
376,9
377,9
378,8
379,5
380,10
381,6
382,3
383,2
384,3
385,3
386,2
387,10
388,10
389,3
390,5
391,0
392,10
393,8
394,9
395,2
396,10
397,8
398,2
399,9
400,9
401,4
402,9
403,9
404,10
405,3
406,0
407,5
408,2
409,4
410,9
411,7
412,3
413,7
414,3
415,0
416,0
417,4
418,2
419,2
420,5
421,2
422,5
423,10
424,3
425,8
426,9
427,9
428,9
429,9
430,5
431,0
432,8
433,8
434,3
435,2
436,8
437,10
438,3
439,2
440,10
441,4
442,2
443,0
444,2
445,3
446,0
447,10
448,0
449,2
450,4
451,9
452,0
453,9
454,6
455,6
456,5
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,1
465,2
466,7
467,9
468,0
469,0
470,5
471,4
472,8
473,2
474,9
475,0
476,6
477,2
478,2
479,6
480,5
481,4
482,3
483,2
484,10
485,0
486,8
487,9
488,5
489,9
490,3
491,3
492,7
493,2
494,2
495,2
496,8
497,10
498,2
499,10
500,9
501,2
502,5
503,7
504,0
505,3
506,5
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,4
515,2
516,9
517,9
518,5
519,0
520,2
521,3
522,7
523,9
524,5
525,2
526,9
527,9
528,6
529,0
530,4
531,3
532,0
533,6
534,4
535,10
536,2
537,9
538,8
539,8
540,2
541,9
542,5
543,0
544,9
545,8
546,0
547,5
548,3
549,5
550,9
551,2
552,8
553,0
554,4
555,8
556,2
557,5
558,9
559,2
560,9
561,2
562,0
563,8
564,0
565,4
566,5
567,2
568,5
569,3
570,2
571,5
572,4
573,5
574,2
575,5
576,8
577,0
578,1
579,3
580,9
581,5
582,5
583,9
584,3
585,6
586,2
587,2
588,7
589,5
590,2
591,2
592,4
593,5
594,2
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,0
603,6
604,0
605,9
606,9
607,4
608,5
609,8
610,5
611,2
612,2
613,3
614,2
615,10
616,8
617,9
618,0
619,2
620,7
621,3
622,4
623,5
624,2
625,0
626,3
627,8
628,9
629,6
630,0
631,3
632,2
633,2
634,9
635,8
636,9
637,2
638,2
639,3
640,10
641,3
642,2
643,4
644,9
645,0
646,6
647,2
648,5
649,3
650,0
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,9
659,10
660,1
661,6
662,0
663,9
664,9
665,1
666,0
667,0
668,9
669,0
670,0
671,9
672,2
673,4
674,4
675,0
676,3
677,2
678,2
679,2
680,2
681,3
682,2
683,8
684,8
685,0
686,3
687,0
688,10
689,6
690,2
691,9
692,1
693,5
694,4
695,8
696,6
697,8
698,10
699,9
700,9
701,8
702,10
703,0
704,4
705,10
706,8
707,3
708,5
709,9
710,0
711,8
712,6
713,9
714,6
715,4
716,3
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,4
727,3
728,2
729,0
730,8
731,0
732,2
733,5
734,4
735,3
736,3
737,0
738,5
739,7
740,3
741,3
742,3
743,3
744,7
745,2
746,2
747,2
748,6
749,8
750,4
751,2
752,5
753,5
754,2
755,2
756,8
757,10
758,9
759,8
760,2
761,4
762,0
763,6
764,1
765,3
766,4
767,9
768,2
769,10
770,2
771,4
772,5
773,5
774,3
775,1
776,8
777,5
778,5
779,4
780,4
